id,kode_provinsi,nama_provinsi,jenis_hasil_hutan,produksi_hasil_hutan,satuan,tahun
1,32,JAWA BARAT,GETAH PINUS,413117,TON,2010
2,32,JAWA BARAT,GETAH DAMAR,211,TON,2010
3,32,JAWA BARAT,DAUN KAYU PUTIH,1027000,TON,2010
4,32,JAWA BARAT,ARANG,0,TON,2010
5,32,JAWA BARAT,KOPAL,0,TON,2010
6,32,JAWA BARAT,ROTAN,223582,BATANG,2010
7,32,JAWA BARAT,BAMBU,48295,BATANG,2010
8,32,JAWA BARAT,RUMPUT GAJAH,1671758,TON,2010
9,32,JAWA BARAT,MADU,340,KG,2010
10,32,JAWA BARAT,BUNGA KENANGA,0,TON,2010
11,32,JAWA BARAT,KOPI,395406,KG,2010
12,32,JAWA BARAT,KELAPA,5000,BUTIR,2010
13,32,JAWA BARAT,SARANG BURUNG WALET,98,KG,2010
14,32,JAWA BARAT,MELINJO,0,KG,2010
15,32,JAWA BARAT,KARET,6359,KG,2010
16,32,JAWA BARAT,CENGKEH,6227,KG,2010
17,32,JAWA BARAT,YLANG-YLANG,0,KG,2010
18,32,JAWA BARAT,PADI,397101,TON,2010
19,32,JAWA BARAT,LAIN-LAIN: RUSA,8,EKOR,2010
20,32,JAWA BARAT,LAIN-LAIN: BUAYA,10,EKOR,2010
21,32,JAWA BARAT,LAIN-LAIN: PRIMATA,90,EKOR,2010
22,32,JAWA BARAT,GETAH PINUS,15863,TON,2011
23,32,JAWA BARAT,GETAH DAMAR,32,TON,2011
24,32,JAWA BARAT,DAUN KAYU PUTIH,13190,TON,2011
25,32,JAWA BARAT,ARANG,0,TON,2011
26,32,JAWA BARAT,KOPAL,0,TON,2011
27,32,JAWA BARAT,ROTAN,240105,BATANG,2011
28,32,JAWA BARAT,BAMBU,66665,BATANG,2011
29,32,JAWA BARAT,RUMPUT GAJAH,2672,TON,2011
30,32,JAWA BARAT,MADU,0,KG,2011
31,32,JAWA BARAT,BUNGA KENANGA,0,TON,2011
32,32,JAWA BARAT,KOPI,111000,KG,2011
33,32,JAWA BARAT,KELAPA,2500,BUTIR,2011
34,32,JAWA BARAT,SARANG BURUNG WALET,0,KG,2011
35,32,JAWA BARAT,MELINJO,0,KG,2011
36,32,JAWA BARAT,KARET,19000,KG,2011
37,32,JAWA BARAT,CENGKEH,0,KG,2011
38,32,JAWA BARAT,YLANG-YLANG,0,KG,2011
39,32,JAWA BARAT,PADI,413000,TON,2011
40,32,JAWA BARAT,LAIN-LAIN: RUSA,72,EKOR,2011
41,32,JAWA BARAT,LAIN-LAIN: BUAYA,369,EKOR,2011
42,32,JAWA BARAT,LAIN-LAIN: PRIMATA,9964,EKOR,2011
43,32,JAWA BARAT,GETAH PINUS,16150,TON,2012
44,32,JAWA BARAT,GETAH DAMAR,22,TON,2012
45,32,JAWA BARAT,DAUN KAYU PUTIH,15859,TON,2012
46,32,JAWA BARAT,ARANG,0,TON,2012
47,32,JAWA BARAT,KOPAL,22,TON,2012
48,32,JAWA BARAT,ROTAN,180756,BATANG,2012
49,32,JAWA BARAT,BAMBU,63189,BATANG,2012
50,32,JAWA BARAT,RUMPUT GAJAH,8664,TON,2012
51,32,JAWA BARAT,MADU,2610,KG,2012
52,32,JAWA BARAT,BUNGA KENANGA,0,TON,2012
53,32,JAWA BARAT,KOPI,608458,KG,2012
54,32,JAWA BARAT,KELAPA,23925,BUTIR,2012
55,32,JAWA BARAT,SARANG BURUNG WALET,3,KG,2012
56,32,JAWA BARAT,MELINJO,9652,KG,2012
57,32,JAWA BARAT,KARET,19431,KG,2012
58,32,JAWA BARAT,CENGKEH,926,KG,2012
59,32,JAWA BARAT,YLANG-YLANG,0,KG,2012
60,32,JAWA BARAT,PADI,443798,TON,2012
61,32,JAWA BARAT,LAIN-LAIN: RUSA,84,EKOR,2012
62,32,JAWA BARAT,LAIN-LAIN: BUAYA,393,EKOR,2012
63,32,JAWA BARAT,LAIN-LAIN: PRIMATA,9944,EKOR,2012
64,32,JAWA BARAT,GETAH PINUS,11245,TON,2013
65,32,JAWA BARAT,GETAH DAMAR,22,TON,2013
66,32,JAWA BARAT,DAUN KAYU PUTIH,16239,TON,2013
67,32,JAWA BARAT,ARANG,0,TON,2013
68,32,JAWA BARAT,KOPAL,0,TON,2013
69,32,JAWA BARAT,ROTAN,208543,BATANG,2013
70,32,JAWA BARAT,BAMBU,72303,BATANG,2013
71,32,JAWA BARAT,RUMPUT GAJAH,1600,TON,2013
72,32,JAWA BARAT,MADU,393,KG,2013
73,32,JAWA BARAT,BUNGA KENANGA,0,TON,2013
74,32,JAWA BARAT,KOPI,121007,KG,2013
75,32,JAWA BARAT,KELAPA,43465,BUTIR,2013
76,32,JAWA BARAT,SARANG BURUNG WALET,0,KG,2013
77,32,JAWA BARAT,MELINJO,9486,KG,2013
78,32,JAWA BARAT,KARET,11886,KG,2013
79,32,JAWA BARAT,CENGKEH,1142,KG,2013
80,32,JAWA BARAT,YLANG-YLANG,0,KG,2013
81,32,JAWA BARAT,PADI,865080,TON,2013
82,32,JAWA BARAT,LAIN-LAIN: RUSA,79,EKOR,2013
83,32,JAWA BARAT,LAIN-LAIN: BUAYA,404,EKOR,2013
84,32,JAWA BARAT,LAIN-LAIN: PRIMATA,9438,EKOR,2013
85,32,JAWA BARAT,GETAH PINUS,13104593,TON,2014
86,32,JAWA BARAT,GETAH DAMAR,23061,TON,2014
87,32,JAWA BARAT,DAUN KAYU PUTIH,15498508,TON,2014
88,32,JAWA BARAT,ARANG,0,TON,2014
89,32,JAWA BARAT,KOPAL,23061,TON,2014
90,32,JAWA BARAT,ROTAN,67916,BATANG,2014
91,32,JAWA BARAT,BAMBU,51367,BATANG,2014
92,32,JAWA BARAT,RUMPUT GAJAH,184695,TON,2014
93,32,JAWA BARAT,MADU,239,KILOGRAM,2014
94,32,JAWA BARAT,BUNGA KENANGA,0,TON,2014
95,32,JAWA BARAT,KOPI,69847,KILOGRAM,2014
96,32,JAWA BARAT,KELAPA,30484,BUTIR,2014
97,32,JAWA BARAT,SARANG BURUNG WALET,0,KILOGRAM,2014
98,32,JAWA BARAT,MELINJO,5534,KILOGRAM,2014
99,32,JAWA BARAT,KARET,7806,KILOGRAM,2014
100,32,JAWA BARAT,CENGKEH,12,KILOGRAM,2014
101,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2014
102,32,JAWA BARAT,PADI,730191,TON,2014
103,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2014
104,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2014
105,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2014
106,32,JAWA BARAT,GETAH PINUS,0,TON,2015
107,32,JAWA BARAT,GETAH DAMAR,0,TON,2015
108,32,JAWA BARAT,DAUN KAYU PUTIH,56351,TON,2015
109,32,JAWA BARAT,ARANG,0,TON,2015
110,32,JAWA BARAT,KOPAL,0,TON,2015
111,32,JAWA BARAT,ROTAN,0,BATANG,2015
112,32,JAWA BARAT,BAMBU,0,BATANG,2015
113,32,JAWA BARAT,RUMPUT GAJAH,95164,TON,2015
114,32,JAWA BARAT,MADU,29350,KILOGRAM,2015
115,32,JAWA BARAT,BUNGA KENANGA,0,TON,2015
116,32,JAWA BARAT,KOPI,3835,KILOGRAM,2015
117,32,JAWA BARAT,KELAPA,13848,BUTIR,2015
118,32,JAWA BARAT,SARANG BURUNG WALET,673,KILOGRAM,2015
119,32,JAWA BARAT,MELINJO,0,KILOGRAM,2015
120,32,JAWA BARAT,KARET,765246,KILOGRAM,2015
121,32,JAWA BARAT,CENGKEH,0,KILOGRAM,2015
122,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2015
123,32,JAWA BARAT,PADI,0,TON,2015
124,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2015
125,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2015
126,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2015
127,32,JAWA BARAT,GETAH PINUS,0,TON,2016
128,32,JAWA BARAT,GETAH DAMAR,0,TON,2016
129,32,JAWA BARAT,DAUN KAYU PUTIH,56,TON,2016
130,32,JAWA BARAT,ARANG,0,TON,2016
131,32,JAWA BARAT,KOPAL,0,TON,2016
132,32,JAWA BARAT,ROTAN,0,BATANG,2016
133,32,JAWA BARAT,BAMBU,0,BATANG,2016
134,32,JAWA BARAT,RUMPUT GAJAH,95164,TON,2016
135,32,JAWA BARAT,MADU,29350,KILOGRAM,2016
136,32,JAWA BARAT,BUNGA KENANGA,0,TON,2016
137,32,JAWA BARAT,KOPI,3835,KILOGRAM,2016
138,32,JAWA BARAT,KELAPA,13848,BUTIR,2016
139,32,JAWA BARAT,SARANG BURUNG WALET,673,KILOGRAM,2016
140,32,JAWA BARAT,MELINJO,0,KILOGRAM,2016
141,32,JAWA BARAT,KARET,765246,KILOGRAM,2016
142,32,JAWA BARAT,CENGKEH,0,KILOGRAM,2016
143,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2016
144,32,JAWA BARAT,PADI,0,TON,2016
145,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2016
146,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2016
147,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2016
148,32,JAWA BARAT,GETAH PINUS,1540645,TON,2017
149,32,JAWA BARAT,GETAH DAMAR,0,TON,2017
150,32,JAWA BARAT,DAUN KAYU PUTIH,11630936000,TON,2017
151,32,JAWA BARAT,ARANG,18371,TON,2017
152,32,JAWA BARAT,KOPAL,0,TON,2017
153,32,JAWA BARAT,ROTAN,0,BATANG,2017
154,32,JAWA BARAT,BAMBU,281889140,BATANG,2017
155,32,JAWA BARAT,RUMPUT GAJAH,0,TON,2017
156,32,JAWA BARAT,MADU,262320,KILOGRAM,2017
157,32,JAWA BARAT,BUNGA KENANGA,0,TON,2017
158,32,JAWA BARAT,KOPI,0,KILOGRAM,2017
159,32,JAWA BARAT,KELAPA,0,BUTIR,2017
160,32,JAWA BARAT,SARANG BURUNG WALET,38880,KILOGRAM,2017
161,32,JAWA BARAT,MELINJO,0,KILOGRAM,2017
162,32,JAWA BARAT,KARET,0,KILOGRAM,2017
163,32,JAWA BARAT,CENGKEH,0,KILOGRAM,2017
164,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2017
165,32,JAWA BARAT,PADI,0,TON,2017
166,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2017
167,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2017
168,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2017
169,32,JAWA BARAT,GETAH PINUS,157430,TON,2018
170,32,JAWA BARAT,GETAH DAMAR,240,TON,2018
171,32,JAWA BARAT,DAUN KAYU PUTIH,110480,TON,2018
172,32,JAWA BARAT,ARANG,26167,TON,2018
173,32,JAWA BARAT,KOPAL,250,TON,2018
174,32,JAWA BARAT,ROTAN,0,BATANG,2018
175,32,JAWA BARAT,BAMBU,428770410,BATANG,2018
176,32,JAWA BARAT,RUMPUT GAJAH,700427,TON,2018
177,32,JAWA BARAT,MADU,1924014,KILOGRAM,2018
178,32,JAWA BARAT,BUNGA KENANGA,0,TON,2018
179,32,JAWA BARAT,KOPI,1775860,KILOGRAM,2018
180,32,JAWA BARAT,KELAPA,0,BUTIR,2018
181,32,JAWA BARAT,SARANG BURUNG WALET,0,KILOGRAM,2018
182,32,JAWA BARAT,MELINJO,0,KILOGRAM,2018
183,32,JAWA BARAT,KARET,460590,KILOGRAM,2018
184,32,JAWA BARAT,CENGKEH,1000,KILOGRAM,2018
185,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2018
186,32,JAWA BARAT,PADI,7206760,TON,2018
187,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2018
188,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2018
189,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2018
190,32,JAWA BARAT,GETAH PINUS,17135,TON,2019
191,32,JAWA BARAT,GETAH DAMAR,25,TON,2019
192,32,JAWA BARAT,DAUN KAYU PUTIH,16942,TON,2019
193,32,JAWA BARAT,ARANG,255517,TON,2019
194,32,JAWA BARAT,KOPAL,0,TON,2019
195,32,JAWA BARAT,ROTAN,0,BATANG,2019
196,32,JAWA BARAT,BAMBU,82288766,BATANG,2019
197,32,JAWA BARAT,RUMPUT GAJAH,84451,TON,2019
198,32,JAWA BARAT,MADU,85667,KILOGRAM,2019
199,32,JAWA BARAT,BUNGA KENANGA,0,TON,2019
200,32,JAWA BARAT,KOPI,37894000,KILOGRAM,2019
201,32,JAWA BARAT,KELAPA,1478,BUTIR,2019
202,32,JAWA BARAT,SARANG BURUNG WALET,2298,KILOGRAM,2019
203,32,JAWA BARAT,MELINJO,6590,KILOGRAM,2019
204,32,JAWA BARAT,KARET,4399,KILOGRAM,2019
205,32,JAWA BARAT,CENGKEH,881,KILOGRAM,2019
206,32,JAWA BARAT,YLANG-YLANG,0,KILOGRAM,2019
207,32,JAWA BARAT,PADI,530919,TON,2019
208,32,JAWA BARAT,LAIN-LAIN: RUSA,0,EKOR,2019
209,32,JAWA BARAT,LAIN-LAIN: BUAYA,0,EKOR,2019
210,32,JAWA BARAT,LAIN-LAIN: PRIMATA,0,EKOR,2019
